state_id,store_id,Religious_event,revenue
CA,CA_4,Chanukah End,32091.499999999556
CA,CA_4,Eid al-Fitr,31423.129999999695
CA,CA_4,EidAlAdha,33131.32999999958
CA,CA_4,LentStart,33971.8699999996
CA,CA_4,LentWeek2,32975.75999999956
CA,CA_4,OrthodoxChristmas,31946.489999999532
CA,CA_4,OrthodoxEaster,44810.1000000004
CA,CA_4,Pesach End,39341.70000000009
CA,CA_4,Purim End,39564.070000000116
CA,CA_4,Ramadan starts,32887.9899999996
TX,TX_1,Chanukah End,41687.600000000224
TX,TX_1,Eid al-Fitr,42133.56000000023
TX,TX_1,EidAlAdha,39751.73000000017
TX,TX_1,LentStart,45960.23000000054
TX,TX_1,LentWeek2,43354.98000000048
TX,TX_1,OrthodoxChristmas,41333.48000000008
TX,TX_1,OrthodoxEaster,68170.26000000088
TX,TX_1,Pesach End,53218.200000000485
TX,TX_1,Purim End,53551.900000000904
TX,TX_1,Ramadan starts,40284.96000000017
WI,WI_1,Chanukah End,42582.17000000003
WI,WI_1,Eid al-Fitr,37278.99999999995
WI,WI_3,EidAlAdha,42545.21000000026
WI,WI_1,LentStart,39689.780000000035
WI,WI_1,LentWeek2,40846.06000000007
WI,WI_1,OrthodoxChristmas,34809.29999999974
WI,WI_1,OrthodoxEaster,54258.28000000068
WI,WI_1,Pesach End,52562.790000000605
WI,WI_1,Purim End,48277.11000000069
WI,WI_1,Ramadan starts,37471.139999999934
