revenue,sale_quantity
56395.68000000102,18946
61555.55000000113,21417
56867.1800000004,19528
56213.930000001,19042
55270.80000000095,18908
57639.610000000925,19712
92851.9100000016,30704
76540.15000000104,26052
74972.17000000147,24987
60295.59000000103,20793
44249.61000000037,14226
49894.72000000052,16602
43616.88000000036,14609
44264.470000000336,14654
44211.33000000033,14731
41595.540000000285,13634
73131.24000000123,22925
62420.5800000011,20334
59306.040000001194,19239
43681.84000000038,14886
77089.01000000104,26059
87797.04000000158,31136
85436.44000000057,29584
89249.78000000106,30675
86298.31000000157,29540
81618.53000000092,28458
123110.0700000018,40751
105708.3700000017,35145
109273.76000000144,37354
84344.65000000129,30465
32091.499999999556,10576
31423.129999999695,10689
33131.32999999958,10960
33971.8699999996,11299
32975.75999999956,10937
31946.489999999532,10553
44810.1000000004,14607
39341.70000000009,13104
39564.070000000116,13452
32887.9899999996,11341
41687.600000000224,14532
42133.56000000023,15171
39751.73000000017,14042
45960.23000000054,16074
43354.98000000048,15317
41333.48000000008,14830
68170.26000000088,23171
53218.200000000485,18684
53551.900000000904,18412
40284.96000000017,14590
54432.320000000786,19153
55505.30000000079,19806
52355.24000000065,18668
60989.62000000106,21268
56138.640000000916,19562
55046.230000000745,19595
83349.31000000155,28097
68772.68000000088,23198
69103.17000000118,23965
53996.71000000092,19500
44844.78000000034,14949
45937.91000000032,16270
47304.000000000444,16218
50947.100000000566,17225
51497.75000000067,17311
48675.610000000335,16619
70039.0900000008,22808
58304.24000000085,19183
60445.76000000122,20171
46313.67000000068,16523
42582.17000000003,14527
37278.99999999995,13215
44097.44000000026,15200
39689.780000000035,13728
40846.06000000007,14233
34809.29999999974,11872
54258.28000000068,18505
52562.790000000605,18210
48277.11000000069,16425
37471.139999999934,13446
47353.23000000018,17852
43096.630000000136,16614
47944.65000000043,17659
58391.87000000059,21164
54570.04000000072,20255
41655.880000000034,15728
57730.390000000465,20614
57939.7500000008,20949
54726.19000000084,19771
42890.970000000205,16466
44511.38000000025,16314
39593.30000000007,15418
42545.21000000026,16052
51169.05000000094,19233
46965.36000000047,17688
40673.740000000114,15720
62593.430000001164,22892
60315.260000001166,22821
57728.83000000099,21966
40573.450000000215,15888
