state_id,cat_id,dept_id,revenue,sale_quantity
CA,FOODS,FOODS_1,6235238.800017358,2449064
CA,FOODS,FOODS_2,10220965.090038355,3072384
CA,FOODS,FOODS_3,32675308.11037052,14340771
CA,HOBBIES,HOBBIES_1,10510184.200041002,2927286
CA,HOBBIES,HOBBIES_2,488936.7499993089,220752
CA,HOUSEHOLD,HOUSEHOLD_1,19095060.760153893,5066702
CA,HOUSEHOLD,HOUSEHOLD_2,8206107.230012812,1609953
TX,FOODS,FOODS_1,3585055.2099979427,1335001
TX,FOODS,FOODS_2,7324840.340012199,2239062
TX,FOODS,FOODS_3,21281462.340210248,9815836
TX,HOBBIES,HOBBIES_1,6741452.450007036,1458663
TX,HOBBIES,HOBBIES_2,422076.36999957106,192346
TX,HOUSEHOLD,HOUSEHOLD_1,12813205.810066279,3692743
TX,HOUSEHOLD,HOUSEHOLD_2,3894925.5400067386,819787
WI,FOODS,FOODS_1,3597490.979997686,1491809
WI,FOODS,FOODS_2,8483066.370013896,2617580
WI,FOODS,FOODS_3,19618771.440209255,9332771
WI,HOBBIES,HOBBIES_1,5275208.490002358,1413367
WI,HOBBIES,HOBBIES_2,305302.81999994925,134522
WI,HOUSEHOLD,HOUSEHOLD_1,10986845.550061507,3175158
WI,HOUSEHOLD,HOUSEHOLD_2,3117460.3100018622,659808
